,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
1612,2024,FL,17,REP,291347,FL17_2024,W. STEUBE,H8FL17053,W. STEUBE,1.0
1613,2024,FL,18,DEM,119637,FL18_2024,ANDREA KALE,H2FL17106,ANDREA KALE,1.0
1618,2024,FL,17,DEM,164566,FL17_2024,MANNY LOPEZ,H4FL17052,MANNY LOPEZ,1.0
1619,2024,FL,16,DEM,168625,FL16_2024,JAN SCHNEIDER,H2FL13139,JAN SCHNEIDER,1.0
1622,2024,FL,15,DEM,152361,FL15_2024,PATRICIA KEMP,H4FL15189,PATRICIA KEMP,1.0
1625,2024,FL,15,REP,195334,FL15_2024,LAUREL LEE,H2FL15241,LAUREL LEE,1.0
1628,2010,CA,39,REP,42037,CA39_2010,LARRY ANDRE,H0CA39080,LARRY ANDRE,1.0
1631,2024,FL,14,REP,145643,FL14_2024,ROBERT ROCHFORD,H4FL14117,ROBERT ROCHFORD,1.0
1636,2024,FL,13,DEM,185930,FL13_2024,WHITNEY FOX,H4FL13200,WHITNEY FOX,1.0
1637,2024,FL,14,DEM,199423,FL14_2024,KATHY CASTOR,H6FL11126,KATHY CASTOR,1.0
1642,2024,FL,12,REP,306487,FL12_2024,GUS BILIRAKIS,H6FL09070,GUS BILIRAKIS,1.0
1643,2024,FL,14,OTHER,2595,FL14_2024,CHRISTOPHER BRADLEY,H2FL14269,CHRISTOPHER BRADLEY,1.0
1646,2024,FL,11,REP,269277,FL11_2024,DANIEL WEBSTER,H0FL08208,DANIEL WEBSTER,1.0
1652,2024,FL,9,REP,138076,FL9_2024,THOMAS CHALIFOUX,H4FL09182,THOMAS CHALIFOUX,1.0
1655,2024,FL,10,REP,109460,FL10_2024,WILLIE MONTAGUE,H0FL10113,WILLIE MONTAGUE,1.0
1658,2024,FL,10,DEM,181455,FL10_2024,MAXWELL FROST,H2FL10259,MAXWELL FROST,1.0
1659,2024,FL,9,DEM,178785,FL9_2024,DARREN SOTO,H6FL09179,DARREN SOTO,1.0
1662,2010,CA,37,IND,10560,CA37_2010,NICHOLAS DIBS,H8CA37277,NICHOLAS DIBS,1.0
1663,2010,CA,37,REP,29159,CA37_2010,STAR PARKER,H0CA37159,STAR PARKER,1.0
1664,2010,HI,1,REP,82723,HI1_2010,CHARLES DJOU,H0HI01157,CHARLES DJOU,1.0
1665,2024,FL,7,REP,233937,FL7_2024,CORY MILLS,H2FL07156,CORY MILLS,1.0
1667,2024,FL,8,REP,280352,FL8_2024,MIKE HARIDOPOLOS,H4FL08168,MIKE HARIDOPOLOS,1.0
1668,2024,FL,7,DEM,179917,FL7_2024,JENNIFER ADAMS,H4FL07137,JENNIFER ADAMS,1.0
1670,2024,FL,5,REP,267471,FL5_2024,JOHN RUTHERFORD,H6FL04105,JOHN RUTHERFORD,1.0
1672,2024,FL,6,REP,284414,FL6_2024,MICHAEL WALTZ,H8FL06148,MICHAEL WALTZ,1.0
1674,2010,CA,38,DEM,85459,CA38_2010,GRACE NAPOLITANO,H8CA34068,GRACE NAPOLITANO,1.0
1677,2024,FL,4,DEM,165912,FL4_2024,LASHONDA HOLLOWAY,H6FL05193,LASHONDA HOLLOWAY,1.0
1682,2024,FL,5,DEM,156570,FL5_2024,JAY MCGOVERN,H4FL05123,JAY MCGOVERN,1.0
1683,2024,FL,3,DEM,150283,FL3_2024,TOM WELLS,H8FL03020,TOM WELLS,1.0
1686,2024,FL,4,REP,222364,FL4_2024,AARON BEAN,H2FL04211,AARON BEAN,1.0
1687,2024,FL,3,REP,241174,FL3_2024,KAT CAMMACK,H0FL03175,KAT CAMMACK,1.0
1689,2024,FL,2,REP,247957,FL2_2024,NEAL DUNN,H6FL02208,NEAL DUNN,1.0
1692,2024,DC,0,DEM,251540,DC0_2024,ELEANOR NORTON,H0DC00058,ELEANOR NORTON,1.0
1693,2024,FL,1,REP,274108,FL1_2024,MATT GAETZ,H6FL01119,MATT GAETZ,1.0
1698,2024,CT,5,DEM,171337,CT5_2024,JAHANA HAYES,H8CT05245,JAHANA HAYES,1.0
1699,2024,DE,0,DEM,287830,DE0_2024,SARAH MCBRIDE,H4DE00045,SARAH MCBRIDE,1.0
1705,2024,CT,5,REP,157258,CT5_2024,GEORGE LOGAN,H2CT05222,GEORGE LOGAN,1.0
1706,2010,CA,37,DEM,85799,CA37_2010,LAURA RICHARDSON,H8CA37137,LAURA RICHARDSON,1.0
1709,2010,CA,36,REP,66706,CA36_2010,MATTIE FEIN,H0CA36136,MATTIE FEIN,1.0
1710,2024,CT,3,DEM,193684,CT3_2024,ROSA DELAURO,H0CT03072,ROSA DELAURO,1.0
1714,2024,CT,4,REP,122793,CT4_2024,MICHAEL GOLDSTEIN,H0CT04229,MICHAEL GOLDSTEIN,1.0
1717,2024,CT,3,REP,130095,CT3_2024,MICHAEL MASSEY,H4CT03116,MICHAEL MASSEY,1.0
1718,2024,CT,2,REP,157878,CT2_2024,MIKE FRANCE,H2CT02161,MIKE FRANCE,1.0
1720,2024,CT,1,DEM,197788,CT1_2024,JOHN LARSON,H8CT01046,JOHN LARSON,1.0
1721,2024,CT,2,DEM,218162,CT2_2024,JOE COURTNEY,H2CT02112,JOE COURTNEY,1.0
1722,2010,HI,1,DEM,94140,HI1_2010,COLLEEN HANABUSA,H2HI02110,COLLEEN HANABUSA,1.0
1724,2010,CA,36,DEM,114489,CA36_2010,JANE HARMAN,H2CA27107,JANE HARMAN,1.0
1725,2024,CO,7,REP,175273,CO7_2024,SERGEI MATVEYUK,H4CO07085,SERGEI MATVEYUK,1.0
1726,2024,CO,8,DEM,160871,CO8_2024,YADIRA CARAVEO,H2CO08020,YADIRA CARAVEO,1.0
1729,2024,CT,1,REP,115065,CT1_2024,JIM GRIFFIN,H0CT01134,JIM GRIFFIN,1.0
1730,2024,CO,7,DEM,235688,CO7_2024,BRITTANY PETTERSEN,H8CO07045,BRITTANY PETTERSEN,1.0
1731,2024,CO,7,LIB,9697,CO7_2024,PATRICK BOHAN,H4CO07051,PATRICK BOHAN,1.0
1738,2024,CO,6,DEM,202686,CO6_2024,JASON CROW,H8CO06229,JASON CROW,1.0
1742,2024,CO,5,REP,197924,CO5_2024,JEFF CRANK,H6CO05142,JEFF CRANK,1.0
1743,2024,CO,5,DEM,147972,CO5_2024,RIVER GASSEN,H4CO05105,RIVER GASSEN,1.0
1747,2024,CO,6,REP,132174,CO6_2024,JOHN FABBRICATORE,H4CO06129,JOHN FABBRICATORE,1.0
1748,2024,CO,5,OTHER,4006,CO5_2024,CHRISTOPHER MITCHELL,H4CO05071,CHRISTOPHER MITCHELL,1.0
1753,2024,CO,4,DEM,188249,CO4_2024,TRISHA CALVARESE,H4CO04280,TRISHA CALVARESE,1.0
1754,2024,CO,3,DEM,182147,CO3_2024,ADAM FRISCH,H2CO03351,ADAM FRISCH,1.0
1755,2024,CO,3,OTHER,2721,CO3_2024,ADAM WITHROW,H4CO03324,ADAM WITHROW,1.0
1756,2024,CO,3,LIB,10734,CO3_2024,JAMES WILEY,H4CO03373,JAMES WILEY,1.0
1757,2024,CO,4,REP,240213,CO4_2024,LAUREN BOEBERT,H0CO03165,LAUREN BOEBERT,1.0
1762,2024,CO,2,REP,120633,CO2_2024,MARSHALL DAWSON,H2CO02205,MARSHALL DAWSON,1.0
1768,2024,CO,1,DEM,264606,CO1_2024,DIANA DEGETTE,H6CO01141,DIANA DEGETTE,1.0
1769,2024,CA,51,DEM,198835,CA51_2024,SARA JACOBS,H8CA49074,SARA JACOBS,1.0
1770,2024,CA,52,DEM,172217,CA52_2024,JUAN VARGAS,H2CA50026,JUAN VARGAS,1.0
1771,2024,CO,1,REP,74598,CO1_2024,VALDAMAR ARCHULETA,H4CO01161,VALDAMAR ARCHULETA,1.0
1772,2010,HI,2,DEM,132290,HI2_2010,MAZIE HIRONO,H6HI02251,MAZIE HIRONO,1.0
1774,2010,CA,35,DEM,98131,CA35_2010,MAXINE WATERS,H4CA23011,MAXINE WATERS,1.0
1775,2010,ID,1,REP,126231,ID1_2010,RAUL LABRADOR,H0ID01253,RAUL LABRADOR,1.0
1776,2024,CA,49,DEM,197397,CA49_2024,MIKE LEVIN,H8CA49058,MIKE LEVIN,1.0
1777,2024,CA,50,DEM,231836,CA50_2024,SCOTT PETERS,H2CA52089,SCOTT PETERS,1.0
1778,2024,CA,51,REP,128749,CA51_2024,BILL WELLS,H2CA53038,BILL WELLS,1.0
1780,2024,CA,48,DEM,146665,CA48_2024,STEPHEN HOULAHAN,H2CA50174,STEPHEN HOULAHAN,1.0
1781,2024,CA,49,REP,180950,CA49_2024,MATT GUNDERSON,H4CA49149,MATT GUNDERSON,1.0
1784,2024,CA,47,REP,171554,CA47_2024,SCOTT BAUGH,H6CA48245,SCOTT BAUGH,1.0
1785,2024,CA,48,REP,213625,CA48_2024,DARRELL ISSA,H0CA48024,DARRELL ISSA,1.0
1787,2024,CA,47,DEM,181721,CA47_2024,DAVE MIN,H4CA47085,DAVE MIN,1.0
1788,2024,CA,46,REP,77279,CA46_2024,DAVID PAN,H4CA46137,DAVID PAN,1.0
1791,2024,CA,45,DEM,158264,CA45_2024,DEREK TRAN,H4CA45170,DEREK TRAN,1.0
1792,2024,CA,45,REP,157611,CA45_2024,MICHELLE STEEL,H0CA48198,MICHELLE STEEL,1.0
1798,2024,CA,43,DEM,160080,CA43_2024,MAXINE WATERS,H4CA23011,MAXINE WATERS,1.0
1799,2024,CA,42,DEM,159153,CA42_2024,ROBERT GARCIA,H2CA47188,ROBERT GARCIA,1.0
1805,2024,CA,41,DEM,171229,CA41_2024,WILL ROLLINS,H2CA42205,WILL ROLLINS,1.0
1806,2024,CA,42,REP,74410,CA42_2024,JOHN BRISCOE,H8CA47078,JOHN BRISCOE,1.0
1809,2024,CA,39,DEM,130191,CA39_2024,MARK TAKANO,H2CA43245,MARK TAKANO,1.0
1811,2010,HI,2,REP,46404,HI2_2010,JOHN WILLOUGHBY,H0HI02106,JOHN WILLOUGHBY,1.0
1812,2024,CA,40,REP,211998,CA40_2024,YOUNG KIM,H8CA39240,YOUNG KIM,1.0
1813,2024,CA,41,REP,183216,CA41_2024,KEN CALVERT,H2CA37023,KEN CALVERT,1.0
1814,2024,CA,39,REP,99469,CA39_2024,DAVID SERPA,H4CA39066,DAVID SERPA,1.0
1817,2024,CA,37,OTHER,44450,CA37_2024,JUAN REY,H8CA29118,JUAN REY,1.0
1820,2010,CA,35,REP,25561,CA35_2010,K BROWN,H0CA35112,K BROWN,1.0
1821,2010,ID,2,REP,137468,ID2_2010,MICHAEL SIMPSON,H8ID02064,MICHAEL SIMPSON,1.0
1823,2024,CA,37,DEM,160364,CA37_2024,SYDNEY KAMLAGER-DOVE,H2CA37304,SYDNEY KAMLAGER-DOVE,1.0
1824,2024,CA,38,REP,110818,CA38_2024,ERIC CHING,H2CA39151,ERIC CHING,1.0
1826,2024,CA,35,DEM,136413,CA35_2024,NORMA TORRES,H4CA35031,NORMA TORRES,1.0
1829,2024,CA,34,DEM,105394,CA34_2024,JIMMY GOMEZ,H8CA34266,JIMMY GOMEZ,1.0
1830,2024,CA,36,DEM,246002,CA36_2024,TED LIEU,H4CA33119,TED LIEU,1.0
1831,2024,CA,33,DEM,137197,CA33_2024,PETE AGUILAR,H2CA31125,PETE AGUILAR,1.0
1832,2024,CA,35,REP,97142,CA35_2024,MIKE CARGILE,H0CA35146,MIKE CARGILE,1.0
1840,2024,CA,32,REP,108711,CA32_2024,LARRY THOMPSON,H4CA32137,LARRY THOMPSON,1.0
1841,2024,CA,32,DEM,212934,CA32_2024,BRAD SHERMAN,H6CA24113,BRAD SHERMAN,1.0
1846,2010,CA,33,DEM,131990,CA33_2010,KAREN BASS,H0CA33117,KAREN BASS,1.0
1847,2010,CA,34,DEM,69382,CA34_2010,LUCILLE ROYBAL-ALLARD,H2CA33048,LUCILLE ROYBAL-ALLARD,1.0
1852,2024,CA,30,DEM,213100,CA30_2024,LAURA FRIEDMAN,H4CA30149,LAURA FRIEDMAN,1.0
1854,2010,IL,1,DEM,148170,IL1_2010,BOBBY RUSH,H2IL01042,BOBBY RUSH,1.0
1856,2024,CA,30,REP,98559,CA30_2024,ALEX BALEKIAN,H4CA30230,ALEX BALEKIAN,1.0
1858,2024,CA,29,DEM,146312,CA29_2024,LUZ RIVAS,H4CA29141,LUZ RIVAS,1.0
1861,2024,CA,28,DEM,204489,CA28_2024,JUDY CHU,H0CA32101,JUDY CHU,1.0
1863,2024,CA,29,REP,63374,CA29_2024,BENITO BERNAL,H6CA29203,BENITO BERNAL,1.0
1866,2010,CA,32,DEM,77759,CA32_2010,JUDY CHU,H0CA32101,JUDY CHU,1.0
1872,2024,CA,28,REP,110455,CA28_2024,APRIL VERLATO,H4CA28127,APRIL VERLATO,1.0
1873,2024,CA,26,REP,146913,CA26_2024,MICHAEL KOSLOW,H4CA26162,MICHAEL KOSLOW,1.0
1874,2024,CA,27,DEM,154040,CA27_2024,GEORGE WHITESIDES,H4CA27111,GEORGE WHITESIDES,1.0
1878,2024,CA,26,DEM,187393,CA26_2024,JULIA BROWNLEY,H2CA00120,JULIA BROWNLEY,1.0
1883,2024,CA,25,REP,107194,CA25_2024,IAN WEEKS,H4CA25222,IAN WEEKS,1.0
1884,2024,CA,25,DEM,137837,CA25_2024,RAUL RUIZ,H2CA36439,RAUL RUIZ,1.0
1892,2024,CA,24,REP,127755,CA24_2024,THOMAS COLE,H4CA24191,THOMAS COLE,1.0
1893,2024,CA,24,DEM,214724,CA24_2024,SALUD CARBAJAL,H6CA24303,SALUD CARBAJAL,1.0
1897,2024,CA,23,DEM,105563,CA23_2024,DEREK MARSHALL,H2CA08214,DEREK MARSHALL,1.0
1900,2024,CA,22,REP,89484,CA22_2024,DAVID VALADAO,H2CA20094,DAVID VALADAO,1.0
1901,2024,CA,22,DEM,78023,CA22_2024,RUDY SALAS,H2CA21233,RUDY SALAS,1.0
1905,2024,CA,23,REP,159286,CA23_2024,JAY OBERNOLTE,H0CA08135,JAY OBERNOLTE,1.0
1906,2024,CA,21,DEM,102798,CA21_2024,JIM COSTA,H4CA20082,JIM COSTA,1.0
1909,2024,CA,19,DEM,252458,CA19_2024,JIMMY PANETTA,H6CA20152,JIMMY PANETTA,1.0
1910,2024,CA,21,REP,92733,CA21_2024,MICHAEL MAHER,H2CA22215,MICHAEL MAHER,1.0
1912,2024,CA,20,REP,187862,CA20_2024,VINCE FONG,H4CA20181,VINCE FONG,1.0
1914,2024,CA,19,REP,111862,CA19_2024,JASON ANDERSON,H4CA19100,JASON ANDERSON,1.0
1917,2024,CA,18,REP,80832,CA18_2024,PETER HERNANDEZ,H2CA18163,PETER HERNANDEZ,1.0
1918,2024,CA,18,DEM,147674,CA18_2024,ZOE LOFGREN,H4CA16049,ZOE LOFGREN,1.0
1922,2010,IL,2,REP,25883,IL2_2010,ISAAC HAYES,H0IL02101,ISAAC HAYES,1.0
1924,2010,CA,31,DEM,76363,CA31_2010,XAVIER BECERRA,H2CA30143,XAVIER BECERRA,1.0
1925,2010,CA,31,REP,14740,CA31_2010,STEPHEN SMITH,H0CA31111,STEPHEN SMITH,1.0
1926,2024,CA,16,DEM,179583,CA16_2024,SAM LICCARDO,H4CA16197,SAM LICCARDO,1.0
1927,2024,CA,17,REP,82415,CA17_2024,ANITA CHEN,H4CA17310,ANITA CHEN,1.0
1933,2024,CA,15,DEM,211648,CA15_2024,KEVIN MULLIN,H2CA14162,KEVIN MULLIN,1.0
1937,2024,CA,14,REP,89125,CA14_2024,VIN KRUTTIVENTI,H4CA14093,VIN KRUTTIVENTI,1.0
1941,2024,CA,15,REP,77896,CA15_2024,ANNA KRAMER,H4CA15074,ANNA KRAMER,1.0
1942,2024,CA,13,REP,105367,CA13_2024,JOHN DUARTE,H2CA13131,JOHN DUARTE,1.0
1943,2024,CA,14,DEM,187263,CA14_2024,ERIC SWALWELL,H2CA15094,ERIC SWALWELL,1.0
1945,2024,CA,13,DEM,105554,CA13_2024,ADAM GRAY,H2CA13115,ADAM GRAY,1.0
1948,2024,CA,12,DEM,97849,CA12_2024,JENNIFER TRAN,H4CA12196,JENNIFER TRAN,1.0
1955,2024,CA,11,DEM,274796,CA11_2024,NANCY PELOSI,H8CA05035,NANCY PELOSI,1.0
1956,2024,CA,9,REP,121174,CA9_2024,KEVIN LINCOLN,H4CA09093,KEVIN LINCOLN,1.0
1957,2024,CA,10,REP,122219,CA10_2024,KATHERINE PICCININI,H4CA10109,KATHERINE PICCININI,1.0
1958,2024,CA,10,DEM,242325,CA10_2024,MARK DESAULNIER,H0CA10073,MARK DESAULNIER,1.0
1960,2024,CA,8,REP,71068,CA8_2024,RUDY RECILE,H2CA00153,RUDY RECILE,1.0
1961,2024,CA,9,DEM,130183,CA9_2024,JOSH HARDER,H8CA10126,JOSH HARDER,1.0
1963,2024,CA,8,DEM,201962,CA8_2024,JOHN GARAMENDI,H0CA10149,JOHN GARAMENDI,1.0
1964,2024,CA,11,REP,64315,CA11_2024,BRUCE LOU,H4CA11164,BRUCE LOU,1.0
1970,2010,CA,30,LIB,5021,CA30_2010,ERICH MILLER,H0CA30113,ERICH MILLER,1.0
1971,2010,CA,30,DEM,153663,CA30_2010,HENRY WAXMAN,H6CA24048,HENRY WAXMAN,1.0
1972,2024,CA,6,REP,121664,CA6_2024,CHRISTINE BISH,H0CA06170,CHRISTINE BISH,1.0
1978,2024,CA,7,DEM,197429,CA7_2024,DORIS MATSUI,H6CA05195,DORIS MATSUI,1.0
1980,2010,CA,29,REP,51534,CA29_2010,JOHN COLBERT,H0CA29099,JOHN COLBERT,1.0
1983,2010,CA,30,REP,75948,CA30_2010,CHARLES WILKERSON,H0CA30105,CHARLES WILKERSON,1.0
1984,2010,IL,3,DEM,116120,IL3_2010,DANIEL LIPINSKI,H4IL03077,DANIEL LIPINSKI,1.0
1987,2024,CA,4,DEM,227730,CA4_2024,MIKE THOMPSON,H8CA01109,MIKE THOMPSON,1.0
1988,2024,CA,5,DEM,140919,CA5_2024,MICHAEL BARKLEY,H2CA00096,MICHAEL BARKLEY,1.0
1989,2024,CA,2,DEM,272883,CA2_2024,JARED HUFFMAN,H2CA06259,JARED HUFFMAN,1.0
1990,2024,CA,3,DEM,188067,CA3_2024,JESSICA MORSE,H8CA04210,JESSICA MORSE,1.0
1991,2024,CA,3,REP,234246,CA3_2024,KEVIN KILEY,H2CA03157,KEVIN KILEY,1.0
1992,2024,CA,2,REP,106734,CA2_2024,CHRIS COULOMBE,H2CA02241,CHRIS COULOMBE,1.0
1995,2024,CA,4,REP,114950,CA4_2024,JOHN MUNN,H4CA04128,JOHN MUNN,1.0
1996,2024,CA,1,REP,208592,CA1_2024,DOUG LAMALFA,H2CA02142,DOUG LAMALFA,1.0
2000,2024,AR,4,REP,197046,AR4_2024,BRUCE WESTERMAN,H4AR04048,BRUCE WESTERMAN,1.0
2003,2024,AR,3,REP,192101,AR3_2024,STEVE WOMACK,H0AR03055,STEVE WOMACK,1.0
2004,2024,CA,1,DEM,110636,CA1_2024,ROSE YEE,H4CA01140,ROSE YEE,1.0
2013,2024,AR,2,DEM,125777,AR2_2024,MARCUS JONES,H4AR02232,MARCUS JONES,1.0
2014,2024,AR,1,DEM,64113,AR1_2024,RODNEY GOVENS,H4AR01077,RODNEY GOVENS,1.0
2017,2024,AZ,9,DEM,132640,AZ9_2024,QUACY SMITH,H4AZ09049,QUACY SMITH,1.0
2018,2024,AR,1,REP,194711,AR1_2024,ERIC CRAWFORD,H0AR01083,ERIC CRAWFORD,1.0
2023,2024,AZ,8,DEM,160344,AZ8_2024,GREGORY WHITTEN,H4AZ08090,GREGORY WHITTEN,1.0
2024,2024,AZ,9,REP,249583,AZ9_2024,PAUL GOSAR,H0AZ01259,PAUL GOSAR,1.0
2028,2024,AZ,8,REP,208269,AZ8_2024,ABRAHAM HAMADEH,H4AZ08108,ABRAHAM HAMADEH,1.0
2032,2010,CA,28,DEM,88385,CA28_2010,HOWARD BERMAN,H2CA26026,HOWARD BERMAN,1.0
2033,2010,IL,3,REP,40479,IL3_2010,MICHAEL BENDAS,H0IL03075,MICHAEL BENDAS,1.0
2034,2010,CA,29,DEM,104374,CA29_2010,ADAM SCHIFF,H0CA27085,ADAM SCHIFF,1.0
2039,2024,AZ,6,DEM,204774,AZ6_2024,KIRSTEN ENGEL,H2AZ02311,KIRSTEN ENGEL,1.0
2040,2024,AZ,4,REP,152052,AZ4_2024,KELLY COOPER,H2AZ09191,KELLY COOPER,1.0
2041,2024,AZ,5,REP,255628,AZ5_2024,ANDY BIGGS,H6AZ05083,ANDY BIGGS,1.0
2042,2024,AZ,5,DEM,167680,AZ5_2024,KATRINA SCHAFFNER,H4AZ05112,KATRINA SCHAFFNER,1.0
2043,2024,AZ,6,REP,215596,AZ6_2024,JUAN CISCOMANI,H2AZ02360,JUAN CISCOMANI,1.0
2044,2024,AZ,4,DEM,176428,AZ4_2024,GREG STANTON,H8AZ09040,GREG STANTON,1.0
2048,2010,CA,27,REP,55056,CA27_2010,MARK REED,H0CA27101,MARK REED,1.0
2049,2010,IL,4,DEM,63273,IL4_2010,LUIS GUTIERREZ,H2IL08039,LUIS GUTIERREZ,1.0
2051,2010,CA,27,DEM,102927,CA27_2010,BRAD SHERMAN,H6CA24113,BRAD SHERMAN,1.0
2053,2024,AZ,3,DEM,143336,AZ3_2024,YASSAMIN ANSARI,H4AZ03109,YASSAMIN ANSARI,1.0
2054,2024,AZ,2,DEM,184963,AZ2_2024,JONATHAN NEZ,H4AZ02184,JONATHAN NEZ,1.0
2066,2024,AZ,1,DEM,208966,AZ1_2024,AMISH SHAH,H4AZ01194,AMISH SHAH,1.0
2067,2024,AZ,1,REP,225538,AZ1_2024,DAVID SCHWEIKERT,H4AZ06045,DAVID SCHWEIKERT,1.0
2069,2010,IL,5,REP,38935,IL5_2010,DAVID RATOWITZ,H0IL05328,DAVID RATOWITZ,1.0
2071,2024,AK,0,DEM,152828,AK0_2024,MARY PELTOLA,H2AK01158,MARY PELTOLA,1.0
2077,2024,AL,7,DEM,186723,AL7_2024,TERRI SEWELL,H0AL07086,TERRI SEWELL,1.0
2086,2024,AL,6,REP,243741,AL6_2024,GARY PALMER,H4AL06098,GARY PALMER,1.0
2087,2024,AL,7,REP,106312,AL7_2024,ROBIN LITAKER,H4AL07104,ROBIN LITAKER,1.0
2091,2024,AL,4,REP,274498,AL4_2024,ROBERT ADERHOLT,H6AL04098,ROBERT ADERHOLT,1.0
2092,2024,AL,5,REP,250322,AL5_2024,DALE STRONG,H2AL05102,DALE STRONG,1.0
2095,2024,AL,6,DEM,102504,AL6_2024,ELIZABETH ANDERSON,H4AL06189,ELIZABETH ANDERSON,1.0
2096,2010,IL,5,DEM,108360,IL5_2010,MIKE QUIGLEY,H0IL05096,MIKE QUIGLEY,1.0
2097,2010,CA,26,DEM,76093,CA26_2010,RUSS WARNER,H6CA26183,RUSS WARNER,1.0
2098,2010,CA,26,REP,112774,CA26_2010,DAVID DREIER,H8CA35032,DAVID DREIER,1.0
2099,2010,IL,6,REP,114456,IL6_2010,PETER ROSKAM,H6IL06117,PETER ROSKAM,1.0
2104,2024,AL,2,REP,131414,AL2_2024,CAROLEENE DOBSON,H4AL02220,CAROLEENE DOBSON,1.0
2105,2024,AL,2,DEM,158041,AL2_2024,SHOMARI FIGURES,H4AL02170,SHOMARI FIGURES,1.0
2107,2010,IL,7,DEM,149846,IL7_2010,DANNY DAVIS,H4IL07037,DANNY DAVIS,1.0
2108,2010,IL,6,DEM,65379,IL6_2010,BENJAMIN LOWE,H0IL06045,BENJAMIN LOWE,1.0
2112,2022,WY,0,DEM,47250,WY0_2022,LYNNETTE GREYBULL,H0WY01036,LYNNETTE GREYBULL,1.0
2113,2022,WY,0,OTHER,4505,WY0_2022,MARISSA SELVIG,H2WY01016,MARISSA SELVIG,1.0
2115,2022,WY,0,REP,132206,WY0_2022,HARRIET HAGEMAN,H2WY00166,HARRIET HAGEMAN,1.0
2121,2022,ND,0,REP,148399,ND0_2022,KELLY ARMSTRONG,H8ND00096,KELLY ARMSTRONG,1.0
2122,2022,SD,0,REP,253821,SD0_2022,DUSTY JOHNSON,H8SD01055,DUSTY JOHNSON,1.0
2123,2022,VT,0,LIB,12590,VT0_2022,ERICKA REDIC,H2VT01084,ERICKA REDIC,1.0
2124,2010,CA,25,REP,118308,CA25_2010,HOWARD MCKEON,H2CA25036,HOWARD MCKEON,1.0
2129,2022,AK,0,DEM,128553,AK0_2022,MARY PELTOLA,H2AK01158,MARY PELTOLA,1.0
2132,2022,AK,0,REP,67866,AK0_2022,SARAH PALIN,H2AK00226,SARAH PALIN,1.0
2133,2022,WV,2,DEM,84278,WV2_2022,BARRY WENDELL,H2WV02191,BARRY WENDELL,1.0
2135,2022,AK,0,LIB,4570,AK0_2022,CHRIS BYE,H2AK01216,CHRIS BYE,1.0
2136,2022,DE,0,REP,138201,DE0_2022,LEE MURPHY,H8DE01044,LEE MURPHY,1.0
2137,2022,DE,0,DEM,178416,DE0_2022,LISA ROCHESTER,H6DE00206,LISA ROCHESTER,1.0
2140,2022,WV,2,REP,160493,WV2_2022,ALEXANDER MOONEY,H4WV02080,ALEXANDER MOONEY,1.0
2144,2022,WV,1,REP,151511,WV1_2022,CAROL MILLER,H8WV03097,CAROL MILLER,1.0
2145,2022,UT,4,DEM,82181,UT4_2022,DARLENE MCDONALD,H8UT04046,DARLENE MCDONALD,1.0
2146,2022,UT,4,OTHER,16740,UT4_2022,JANUARY WALKER,H2UT04106,JANUARY WALKER,1.0
2148,2022,UT,4,REP,155110,UT4_2022,BURGESS OWENS,H0UT04076,BURGESS OWENS,1.0
2151,2022,UT,3,REP,182497,UT3_2022,JOHN CURTIS,H8UT03238,JOHN CURTIS,1.0
2152,2022,UT,3,DEM,83687,UT3_2022,GLENN WRIGHT,H2UT03306,GLENN WRIGHT,1.0
2157,2022,UT,2,REP,154883,UT2_2022,CHRIS STEWART,H2UT02324,CHRIS STEWART,1.0
2162,2022,UT,1,REP,178434,UT1_2022,BLAKE MOORE,H0UT01205,BLAKE MOORE,1.0
2165,2010,IL,8,REP,98115,IL8_2010,JOE WALSH,H0IL08090,JOE WALSH,1.0
2167,2022,SC,7,REP,164440,SC7_2022,RUSSELL FRY,H2SC07280,RUSSELL FRY,1.0
2170,2022,SC,6,DEM,130923,SC6_2022,JAMES CLYBURN,H2SC02042,JAMES CLYBURN,1.0
2176,2022,SC,5,REP,154725,SC5_2022,RALPH NORMAN,H8SC05158,RALPH NORMAN,1.0
2178,2022,SC,6,REP,79879,SC6_2022,DUKE BUCKNER,H2SC06142,DUKE BUCKNER,1.0
2181,2022,SC,5,DEM,83299,SC5_2022,EVANGELINE HUNDLEY,H2SC05102,EVANGELINE HUNDLEY,1.0
2182,2022,SC,2,REP,147699,SC2_2022,JOE WILSON,H2SC02059,JOE WILSON,1.0
2183,2022,SC,3,REP,189971,SC3_2022,JEFF DUNCAN,H0SC03077,JEFF DUNCAN,1.0
2184,2010,IL,8,DEM,97825,IL8_2010,MELISSA BEAN,H2IL08088,MELISSA BEAN,1.0
2185,2010,CA,24,DEM,96279,CA24_2010,TIMOTHY ALLISON,H0CA24116,TIMOTHY ALLISON,1.0
2187,2022,SC,1,REP,153757,SC1_2022,NANCY MACE,H0SC01394,NANCY MACE,1.0
2188,2022,SC,1,DEM,115796,SC1_2022,ANNIE ANDREWS,H2SC01127,ANNIE ANDREWS,1.0
2192,2022,RI,2,DEM,101432,RI2_2022,SETH MAGAZINER,H2RI02184,SETH MAGAZINER,1.0
2194,2022,RI,1,DEM,100318,RI1_2022,DAVID CICILLINE,H0RI01073,DAVID CICILLINE,1.0
